,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pinnacle ,79.55,,,,,4,,,,,,,,,,,,,,,,,,,,,
,Frontier  ,78.98,,,,,5,,,,,,,,,,,,,,,,,,,,,
,SkyWest  ,78.97,,,,,6,,,,,,,,,,,,,,,,,,,,,
,Alaska  ,78.29,,,,,7,,,,,,,,,,,,,,,,,,,,,
,Northwest ,76.77,,,,,8,,,,,,,,,,,,,,,,,,,,,
,AirTran  ,76.73,,,,,9,,,,,,,,,,,,,,,,,,,,,
,Delta ,76.36,,,,,10,,,,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,74.24,,,,,11,,,,,,,,,,,,,,,,,,,,,
,Continental ,73.98,,,,,12,,,,,,,,,,,,,,,,,,,,,
,ExpressJet  ,73.57,,,,,13,,,,,,,,,,,,,,,,,,,,,
,Mesa  ,72.95,,,,,14,,,,,,,,,,,,,,,,,,,,,
,JetBlue ,72.87,,,,,15,,,,,,,,,,,,,,,,,,,,,
,American Eagle ,72.85,,,,,16,,,,,,,,,,,,,,,,,,,,,
,United ,71.61,,,,,17,,,,,,,,,,,,,,,,,,,,,
,Comair ,69.92,,,,,18,,,,,,,,,,,,,,,,,,,,,
,American  ,69.84,,,,,19,,,,,,,,,,,,,,,,,,,,,
,Aloha* ,94.33,,,,,20,,,,,,,,,,,,,,,,,,,,,
,All Airlines,76.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,* Aloha stopped reporting on-time data after February,,,,,,,,,,,,,,,,,,,,,
,Hawaiian  ,92.06,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Southwest ,83,,,,,,2,,,,,,,,,,,,,,,,,,,,
,Alaska  ,82.91,,,,,,3,,,,,,,,,,,,,,,,,,,,
,Pinnacle ,82.54,,,,,,4,,,,,,,,,,,,,,,,,,,,
,SkyWest  ,82.11,,,,,,5,,,,,,,,,,,,,,,,,,,,
,United ,80.98,,,,,,6,,,,,,,,,,,,,,,,,,,,
,US Airways,80.87,,,,,,7,,,,,,,,,,,,,,,,,,,,
,Northwest ,79.15,,,,,,8,,,,,,,,,,,,,,,,,,,,
,Mesa  ,79.13,,,,,,9,,,,,,,,,,,,,,,,,,,,
,Continental ,78.77,,,,,,10,,,,,,,,,,,,,,,,,,,,
,ExpressJet  ,78.72,,,,,,11,,,,,,,,,,,,,,,,,,,,
,Delta ,78.56,,,,,,12,,,,,,,,,,,,,,,,,,,,
,Frontier  ,78.3,,,,,,13,,,,,,,,,,,,,,,,,,,,
,JetBlue ,77.45,,,,,,14,,,,,,,,,,,,,,,,,,,,
,American Eagle ,77.22,,,,,,15,,,,,,,,,,,,,,,,,,,,
,American  ,77.21,,,,,,16,,,,,,,,,,,,,,,,,,,,
,AirTran  ,75.79,,,,,,17,,,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,71.24,,,,,,18,,,,,,,,,,,,,,,,,,,,
